Date,Price
13/09/2018,3050
12/9/2018,3047
11/9/2018,3072
10/9/2018,3066
9/9/2018,3051
8/9/2018,3051
7/9/2018,3042
6/9/2018,3066
5/9/2018,3034
4/9/2018,3025
3/9/2018,3024
2/9/2018,3014
1/9/2018,3014
31/10/2018,3183
30/10/2018,3191
29/10/2018,3191
28/10/2018,3191
27/10/2018,3209
26/10/2018,3187
25/10/2018,3187
24/10/2018,3207
23/10/2018,3184
22/10/2018,3184
21/10/2018,3182
20/10/2018,3200
19/10/2018,3138
18/10/2018,3127
17/10/2018,3122
16/10/2018,3165
15/10/2018,3165
14/10/2018,3105
13/10/2018,3100
12/10/2018,3100
11/10/2018,3095
10/10/2018,3090
9/10/2018,3088
8/10/2018,3081
7/10/2018,3076
6/10/2018,3070
5/10/2018,3066
